## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam_files/sample9.mrkdup.BL.filtered_hist.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=bam_files/sample9.mrkdup.BL.filtered.bam OUTPUT=bam_files/sample9.mrkdup.BL.filtered_inserts.txt TMP_DIR=[tmp]    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 20 23:54:36 BST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
169	166	17	2	242600871	191.326852	80.038418	10461618	FR	5	11	17	23	35	47	65	119	283	353	687			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
3	2
4	1
5	2
6	1
7	2
8	3
9	2
10	5
11	6
12	1
13	4
14	3
15	1
16	2
17	3
18	3
19	3
20	3
22	4
23	5
24	4
25	4
26	3
27	3
28	10
29	34
30	381
31	489
32	579
33	656
34	755
35	969
36	1092
37	1358
38	1449
39	1684
40	1738
41	1870
42	1988
43	2179
44	2256
45	2475
46	2514
47	2851
48	3138
49	3318
50	3551
51	3470
52	3384
53	3321
54	3465
55	3665
56	3946
57	4020
58	4238
59	4640
60	4904
61	4656
62	4257
63	4027
64	3939
65	3983
66	3896
67	3800
68	4138
69	4591
70	4809
71	4420
72	4013
73	3899
74	3719
75	3859
76	3886
77	4106
78	4384
79	5282
80	6451
81	6428
82	5032
83	4293
84	4038
85	4092
86	4197
87	4632
88	5018
89	6035
90	7577
91	8477
92	8237
93	6920
94	5908
95	5825
96	5786
97	6329
98	7008
99	7676
100	8523
101	9492
102	9892
103	9339
104	8850
105	8731
106	8928
107	9627
108	10270
109	11015
110	12251
111	13600
112	13389
113	12492
114	11481
115	11386
116	12443
117	13594
118	14563
119	16243
120	18876
121	22828
122	26229
123	25884
124	22327
125	20375
126	20570
127	22646
128	25027
129	27052
130	31043
131	36639
132	44570
133	51605
134	54055
135	51630
136	49832
137	51219
138	57835
139	66420
140	72740
141	77499
142	78362
143	80109
144	82982
145	85629
146	88674
147	92248
148	97883
149	102529
150	104600
151	106708
152	107210
153	106641
154	105643
155	109498
156	116128
157	125787
158	136150
159	146193
160	153605
161	158862
162	167920
163	184706
164	212000
165	237578
166	245525
167	239803
168	228715
169	216419
170	204109
171	192200
172	184575
173	181931
174	183196
175	181656
176	176906
177	164055
178	148508
179	132439
180	117122
181	105780
182	97635
183	91096
184	86184
185	83089
186	80086
187	75630
188	71143
189	65568
190	59387
191	53926
192	48781
193	44939
194	42188
195	39619
196	37655
197	35713
198	34237
199	32521
200	29973
201	28003
202	25788
203	23921
204	22296
205	20394
206	19332
207	18362
208	17577
209	16583
210	15926
211	14905
212	14012
213	12995
214	11700
215	11015
216	10422
217	9854
218	9653
219	9103
220	8693
221	8584
222	8199
223	7503
224	7010
225	6728
226	6227
227	5953
228	5842
229	5816
230	5774
231	5772
232	5425
233	5249
234	4952
235	4953
236	4822
237	4690
238	4616
239	4704
240	4733
241	4593
242	4617
243	4566
244	4615
245	4415
246	4569
247	4706
248	4423
249	4529
250	4460
251	4735
252	4651
253	4845
254	4740
255	4729
256	4680
257	4638
258	4693
259	4610
260	4646
261	4775
262	4967
263	5230
264	5176
265	5237
266	5127
267	5101
268	5076
269	5349
270	5433
271	5612
272	5906
273	6098
274	6350
275	6387
276	6648
277	6848
278	7083
279	7516
280	7949
281	8244
282	8316
283	8533
284	8675
285	8920
286	9313
287	9626
288	10261
289	11076
290	12178
291	11569
292	11558
293	11955
294	12446
295	12158
296	12663
297	13771
298	14643
299	15389
300	16100
301	16043
302	16128
303	16476
304	16838
305	17657
306	18193
307	18984
308	19084
309	19387
310	19208
311	19169
312	19489
313	19491
314	19232
315	19559
316	19242
317	19222
318	18425
319	18217
320	17659
321	17737
322	17253
323	16952
324	16642
325	15970
326	15519
327	15085
328	14327
329	13853
330	13850
331	13380
332	13410
333	12986
334	12572
335	12132
336	11545
337	10948
338	10618
339	10323
340	9833
341	9592
342	9635
343	9453
344	9177
345	9054
346	8755
347	8360
348	8250
349	7674
350	7743
351	7644
352	7406
353	7013
354	7075
355	6717
356	6848
357	6520
358	6549
359	6061
360	5961
361	5913
362	5746
363	5590
364	5549
365	5389
366	5282
367	5019
368	4956
369	4705
370	4619
371	4521
372	4419
373	4298
374	4158
375	3934
376	3814
377	3790
378	3651
379	3402
380	3409
381	3350
382	3282
383	3154
384	3063
385	2949
386	2882
387	2713
388	2766
389	2515
390	2494
391	2497
392	2343
393	2309
394	2203
395	2200
396	2088
397	2066
398	2032
399	1921
400	1807
401	1840
402	1780
403	1766
404	1736
405	1603
406	1673
407	1521
408	1570
409	1529
410	1451
411	1433
412	1400
413	1460
414	1394
415	1399
416	1379
417	1408
418	1423
419	1421
420	1415
421	1307
422	1436
423	1342
424	1339
425	1306
426	1321
427	1350
428	1363
429	1425
430	1479
431	1452
432	1410
433	1415
434	1458
435	1484
436	1448
437	1446
438	1465
439	1522
440	1448
441	1558
442	1566
443	1567
444	1645
445	1644
446	1592
447	1615
448	1658
449	1641
450	1637
451	1739
452	1707
453	1707
454	1694
455	1751
456	1785
457	1690
458	1708
459	1672
460	1737
461	1662
462	1695
463	1757
464	1683
465	1640
466	1660
467	1582
468	1615
469	1570
470	1569
471	1552
472	1565
473	1547
474	1458
475	1506
476	1485
477	1479
478	1409
479	1399
480	1378
481	1416
482	1402
483	1416
484	1354
485	1365
486	1316
487	1367
488	1362
489	1295
490	1311
491	1264
492	1269
493	1223
494	1138
495	1239
496	1158
497	1199
498	1135
499	1077
500	1137
501	1161
502	1118
503	1114
504	1137
505	1082
506	1090
507	1052
508	1037
509	1013
510	1000
511	1025
512	992
513	1005
514	957
515	985
516	972
517	944
518	989
519	965
520	976
521	928
522	971
523	907
524	954
525	899
526	932
527	796
528	891
529	865
530	897
531	890
532	840
533	797
534	843
535	889
536	815
537	815
538	810
539	820
540	786
541	794
542	735
543	793
544	736
545	785
546	754
547	724
548	749
549	692
550	724
551	713
552	664
553	723
554	715
555	664
556	664
557	642
558	630
559	641
560	581
561	628
562	606
563	595
564	586
565	550
566	572
567	580
568	556
569	580
570	531
571	506
572	539
573	556
574	532
575	494
576	534
577	457
578	499
579	449
580	457
581	464
582	468
583	439
584	509
585	439
586	483
587	426
588	403
589	414
590	435
591	397
592	397
593	367
594	375
595	368
596	352
597	371
598	381
599	338
600	336
601	368
602	321
603	318
604	332
605	327
606	323
607	337
608	340
609	295
610	346
611	297
612	297
613	313
614	294
615	291
616	286
617	282
618	299
619	253
620	273
621	270
622	248
623	268
624	258
625	261
626	273
627	257
628	254
629	255
630	235
631	244
632	245
633	250
634	216
635	266
636	251
637	241
638	238
639	214
640	213
641	256
642	243
643	240
644	228
645	215
646	242
647	230
648	205
649	218
650	209
651	219
652	208
653	242
654	230
655	210
656	239
657	206
658	206
659	202
660	210
661	189
662	200
663	205
664	199
665	184
666	183
667	212
668	194
669	200
670	183
671	185
672	186
673	184
674	195
675	182
676	173
677	187
678	166
679	177
680	191
681	174
682	195
683	174
684	192
685	178
686	159
687	192
688	188
689	197
690	158
691	188
692	158
693	165
694	187
695	167
696	186
697	178
698	186
699	161
700	156
701	168
702	171
703	194
704	158
705	175
706	170
707	173
708	151
709	165
710	151
711	160
712	167
713	182
714	136
715	166
716	159
717	169
718	158
719	179
720	158
721	162
722	167
723	157
724	155
725	169
726	178
727	168
728	162
729	165
730	135
731	145
732	153
733	144
734	132
735	146
736	153
737	142
738	126
739	162
740	126
741	139
742	146
743	130
744	124
745	140
746	144
747	132
748	122
749	120
750	131
751	114
752	137
753	117
754	120
755	134
756	127
757	103
758	113
759	125
760	120
761	102
762	111
763	96
764	121
765	123
766	102
767	98
768	104
769	105
770	82
771	88
772	88
773	98
774	88
775	101
776	86
777	89
778	103
779	93
780	90
781	96
782	88
783	92
784	70
785	85
786	82
787	69
788	83
789	79
790	79
791	47
792	58
793	66
794	75
795	68
796	49
797	60
798	59
799	72
800	75
801	63
802	59
803	69
804	69
805	41
806	53
807	52
808	58
809	64
810	55
811	53
812	55
813	44
814	67
815	58
816	58
817	60
818	48
819	51
820	53
821	51
822	44
823	57
824	58
825	52
826	37
827	52
828	48
829	50
830	57
831	33
832	40
833	46
834	35
835	45
836	48
837	50
838	41
839	44
840	48
841	33
842	27
843	49
844	37
845	38
846	53
847	39
848	43
849	41
850	49
851	35
852	35
853	43
854	49
855	38
856	29
857	37
858	37
859	38
860	41
861	41
862	42
863	42
864	37
865	38
866	36
867	44
868	37
869	31
870	32
871	39
872	36
873	35
874	35
875	42
876	44
877	45
878	33
879	40
880	38
881	30
882	46
883	43
884	43
885	43
886	49
887	36
888	43
889	42
890	37
891	43
892	46
893	27
894	29
895	38
896	33
897	45
898	30
899	44
900	37
901	41
902	31
903	42
904	34
905	44
906	32
907	32
908	21
909	28
910	32
911	37
912	35
913	30
914	32
915	38
916	28
917	36
918	33
919	30
920	33
921	33
922	28
923	31
924	25
925	32
926	25
927	24
928	25
929	26
930	30
931	25
932	32
933	35
934	33
935	29
936	32
937	24
938	30
939	40
940	25
941	28
942	39
943	19
944	23
945	30
946	28
947	15
948	20
949	26
950	24
951	19
952	21
953	27
954	18
955	16
956	24
957	25
958	18
959	16
960	23
961	15
962	25
963	20
964	24
965	17
966	20
967	19
968	16
969	14
970	20
971	21
972	17
973	20
974	18
975	22
976	25
977	20
978	15
979	15
980	19
981	20
982	16
983	13
984	21
985	19
986	16
987	18
988	18
989	10
990	11
991	19
992	19
993	16
994	15
995	8
996	7
997	6
998	13
999	17
1000	10

