## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam_files/sample2.mrkdup.BL.filtered_hist.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=bam_files/sample2.mrkdup.BL.filtered.bam OUTPUT=bam_files/sample2.mrkdup.BL.filtered_inserts.txt TMP_DIR=[tmp]    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 20 23:36:04 BST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
163	166	17	2	223477519	171.516803	60.100969	7922242	FR	7	13	19	27	35	45	59	83	131	265	515			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	8
3	5
4	6
5	9
6	9
7	4
8	9
9	2
10	3
11	7
12	3
13	8
14	10
15	8
16	6
17	7
18	3
19	5
20	6
21	4
22	5
23	3
24	7
25	6
26	10
27	6
28	8
29	5
30	30
31	30
32	28
33	18
34	24
35	43
36	43
37	38
38	79
39	79
40	68
41	92
42	125
43	202
44	226
45	253
46	279
47	331
48	424
49	530
50	633
51	620
52	626
53	638
54	643
55	686
56	785
57	894
58	1116
59	1427
60	1573
61	1544
62	1461
63	1482
64	1514
65	1558
66	1642
67	1782
68	2059
69	2596
70	3076
71	2824
72	2678
73	2496
74	2455
75	2642
76	2680
77	3039
78	3745
79	4966
80	6733
81	6953
82	5582
83	4204
84	3923
85	3944
86	4279
87	4780
88	5684
89	7707
90	11038
91	13913
92	14310
93	11501
94	9105
95	7987
96	7948
97	8679
98	10437
99	12883
100	15687
101	18112
102	18885
103	18614
104	16179
105	14297
106	14110
107	14462
108	16469
109	19365
110	23324
111	27293
112	27300
113	22906
114	19670
115	18408
116	18711
117	19979
118	21694
119	25073
120	30949
121	38953
122	46380
123	45382
124	35974
125	27984
126	25866
127	26423
128	28455
129	31751
130	38278
131	46791
132	58806
133	71630
134	72551
135	63959
136	54174
137	52462
138	56759
139	65529
140	77590
141	87895
142	91415
143	90819
144	92280
145	93550
146	89077
147	84146
148	84165
149	86978
150	92526
151	100898
152	108786
153	110646
154	105499
155	102406
156	103134
157	106022
158	112212
159	120313
160	125701
161	128528
162	130452
163	135071
164	143199
165	148939
166	149693
167	148424
168	144681
169	139095
170	131619
171	124950
172	118978
173	114503
174	112422
175	109851
176	107333
177	102685
178	98005
179	91788
180	85242
181	79744
182	73574
183	69661
184	65347
185	61386
186	58980
187	55371
188	52754
189	49632
190	46452
191	43190
192	40241
193	37042
194	34634
195	32389
196	30179
197	28715
198	27325
199	26150
200	24779
201	23280
202	22178
203	20416
204	19225
205	18149
206	17051
207	16059
208	15473
209	14714
210	14057
211	13337
212	12536
213	12123
214	11407
215	10706
216	10076
217	9556
218	9069
219	8721
220	8483
221	8028
222	7792
223	7198
224	6844
225	6561
226	5978
227	5913
228	5657
229	5387
230	5157
231	5139
232	4908
233	4569
234	4453
235	4208
236	3999
237	3834
238	3696
239	3591
240	3413
241	3342
242	3373
243	3235
244	3095
245	2960
246	2995
247	2717
248	2672
249	2615
250	2620
251	2576
252	2634
253	2568
254	2427
255	2374
256	2315
257	2220
258	2260
259	2210
260	2253
261	2248
262	2197
263	2240
264	2225
265	2166
266	2085
267	2073
268	2159
269	2113
270	2155
271	2148
272	2196
273	2255
274	2347
275	2278
276	2306
277	2490
278	2180
279	2225
280	2498
281	2221
282	2255
283	2189
284	2340
285	2305
286	2315
287	2414
288	2444
289	2529
290	2507
291	2745
292	2793
293	2831
294	2913
295	2875
296	2829
297	3001
298	3087
299	3213
300	3189
301	3334
302	3226
303	3372
304	3450
305	3441
306	3592
307	3725
308	3670
309	3690
310	3835
311	3830
312	3839
313	3660
314	3767
315	3855
316	3874
317	3962
318	3807
319	3900
320	3854
321	3771
322	3759
323	3712
324	3776
325	3698
326	3659
327	3656
328	3617
329	3572
330	3649
331	3581
332	3507
333	3543
334	3413
335	3410
336	3467
337	3442
338	3145
339	3197
340	3274
341	3177
342	3233
343	3170
344	3115
345	3161
346	3131
347	3148
348	3026
349	2956
350	3020
351	3076
352	2879
353	2905
354	2865
355	2896
356	2738
357	2879
358	2817
359	2827
360	2828
361	2822
362	2610
363	2624
364	2535
365	2653
366	2645
367	2503
368	2476
369	2507
370	2343
371	2388
372	2339
373	2327
374	2249
375	2227
376	2062
377	2088
378	2065
379	2033
380	2049
381	1961
382	1891
383	1755
384	1787
385	1716
386	1672
387	1681
388	1589
389	1614
390	1575
391	1493
392	1482
393	1469
394	1357
395	1335
396	1264
397	1341
398	1268
399	1211
400	1195
401	1121
402	1103
403	1061
404	1055
405	1015
406	969
407	982
408	962
409	857
410	851
411	847
412	858
413	821
414	799
415	752
416	762
417	736
418	685
419	699
420	694
421	698
422	731
423	668
424	653
425	628
426	613
427	614
428	631
429	548
430	584
431	566
432	565
433	535
434	546
435	534
436	524
437	524
438	519
439	477
440	492
441	504
442	502
443	511
444	492
445	451
446	473
447	451
448	448
449	449
450	432
451	419
452	436
453	442
454	466
455	491
456	436
457	445
458	425
459	394
460	444
461	439
462	414
463	435
464	457
465	427
466	389
467	430
468	413
469	389
470	430
471	376
472	374
473	435
474	448
475	400
476	402
477	423
478	404
479	420
480	381
481	413
482	411
483	423
484	406
485	397
486	397
487	417
488	387
489	386
490	401
491	383
492	417
493	388
494	381
495	363
496	384
497	379
498	385
499	365
500	351
501	346
502	361
503	354
504	341
505	356
506	374
507	371
508	356
509	365
510	351
511	357
512	342
513	339
514	312
515	345
516	336
517	367
518	328
519	312
520	323
521	319
522	308
523	301
524	304
525	347
526	302
527	321
528	324
529	304
530	295
531	314
532	309
533	294
534	337
535	306
536	306
537	295
538	249
539	283
540	289
541	247
542	287
543	296
544	276
545	280
546	269
547	267
548	268
549	267
550	258
551	290
552	255
553	247
554	255
555	277
556	277
557	261
558	250
559	269
560	241
561	266
562	254
563	233
564	226
565	233
566	249
567	237
568	226
569	211
570	206
571	227
572	261
573	221
574	226
575	214
576	218
577	218
578	207
579	200
580	223
581	183
582	164
583	192
584	219
585	208
586	180
587	191
588	207
589	189
590	180
591	158
592	159
593	171
594	153
595	157
596	167
597	169
598	143
599	151
600	154
601	154
602	136
603	135
604	148
605	126
606	138
607	156
608	122
609	123
610	131
611	139
612	130
613	119
614	151
615	146
616	124
617	130
618	107
619	117
620	108
621	114
622	110
623	115
624	110
625	113
626	107
627	91
628	100
629	86
630	99
631	98
632	94
633	103
634	90
635	118
636	110
637	103
638	111
639	74
640	95
641	89
642	83
643	98
644	71
645	81
646	78
647	83
648	84
649	87
650	69
651	77
652	80
653	79
654	68
655	82
656	87
657	87
658	82
659	68
660	66
661	74
662	54
663	64
664	66
665	73
666	76
667	57
668	70
669	60
670	67
671	65
672	63
673	81
674	46
675	71
676	80
677	60
678	69
679	50
680	64
681	67
682	58
683	64
684	74
685	51
686	59
687	58
688	62
689	56
690	57
691	46
692	54
693	54
694	66
695	53
696	59
697	39
698	52
699	44
700	60
701	48
702	48
703	60
704	48
705	45
706	52
707	47
708	49
709	53
710	49
711	46
712	53
713	62
714	55
715	44
716	40
717	50
718	55
719	42
720	54
721	35
722	55
723	60
724	44
725	43
726	42
727	55
728	45
729	41
730	30
731	52
732	44
733	40
734	45
735	42
736	44
737	38
738	43
739	47
740	50
741	38
742	49
743	45
744	38
745	32
746	53
747	37
748	37
749	43
750	42
751	31
752	35
753	44
754	44
755	29
756	50
757	33
758	38
759	47
760	33
761	34
762	43
763	30
764	37
765	36
766	31
767	32
768	30
769	22
770	30
771	36
772	23
773	37
774	30
775	41
776	27
777	29
778	24
779	28
780	35
781	33
782	28
783	31
784	26
785	33
786	33
787	33
788	26
789	20
790	26
791	21
792	19
793	21
794	13
795	33
796	26
797	25
798	24
799	27
800	29
801	23
802	21
803	19
804	19
805	16
806	27
807	20
808	18
809	16
810	25
811	21
812	11
813	21
814	18
815	15
816	16
817	15
818	27
819	28
820	18
821	19
822	20
823	19
824	22
825	13
826	15
827	17
828	18
829	18
830	9
831	14
832	13
833	11
834	17
835	11
836	13
837	13
838	11
839	14
840	13
841	19
842	16
843	11
844	10
845	11
846	12
847	13
848	15
849	8
850	5
851	12
852	8
853	12
854	6
855	12
856	13
857	11
858	9
859	11
860	12
861	9
862	12
863	8
864	10
865	12
866	13
